750	1
749	1
748	1
747	1
746	1
745	1
744	1
743	1
742	1
741	1
740	1
739	1
738	1
737	1
736	1
735	1
734	1
733	1
732	1
731	1
730	1
729	1
728	1
727	1
726	1
725	1
724	1
723	1
722	1
721	1
720	1
719	1
718	1
717	1
716	1
715	1
714	1
713	1
712	1
711	1
710	1
709	1
708	1
707	1
706	1
705	1
704	1
703	1
702	1
701	1
700	1
699	1
698	1
697	1
696	1
695	1
694	1
693	1
692	1
691	1
690	1
689	1
688	1
687	1
686	1
685	1
684	1
683	1
682	1
681	1
680	1
679	1
678	1
677	1
676	1
675	1
674	1
673	1
672	1
671	1
670	1
669	1
668	1
667	1
666	1
665	1
664	1
663	1
662	1
661	1
660	1
659	1
658	1
657	1
656	15
655	227
654	439
653	651
652	862
651	1074
650	1286
649	1498
648	1709
647	1921
646	2133
645	2345
644	2556
643	2768
642	2980
641	3192
640	3403
639	3615
638	3827
637	4039
636	4250
635	4462
634	4674
633	4886
632	5097
631	5309
630	5521
629	5733
628	5944
627	6156
626	6368
625	6580
624	6791
623	7003
622	7215
621	7427
620	7638
619	7850
618	8062
617	8274
616	8485
615	8697
614	8909
613	9121
612	9332
611	9544
610	9756
609	9968
608	10179
607	10391
606	10603
605	10815
604	11026
603	11238
602	11450
601	11662
600	11873
599	12085
598	12297
597	12509
596	12720
595	12932
594	13144
593	13356
592	13567
591	13779
590	13991
589	14203
588	14414
587	14626
586	14838
585	15050
584	15261
583	15473
582	15685
581	15897
580	16108
579	16320
578	16532
577	16744
576	16955
575	17167
574	17379
573	17591
572	17802
571	18014
570	18226
569	18438
568	18649
567	18861
566	19073
565	19285
564	19496
563	19708
562	19920
561	20131
560	20343
559	20555
558	20767
557	20978
556	21190
555	21402
554	21614
553	21825
552	22037
551	22249
550	22461
549	22672
548	22884
547	23096
546	23308
545	23519
544	23731
543	23943
542	24155
541	24366
540	24578
539	24790
538	25002
537	25213
536	25425
535	25637
534	25849
533	26060
532	26272
531	26484
530	26696
529	26907
528	27119
527	27331
526	27543
525	27754
524	27966
523	28178
522	28390
521	28601
520	28813
519	29025
518	29237
517	29448
516	29660
515	29872
514	30084
513	30295
512	30507
511	30719
510	30931
509	31142
508	31354
507	31566
506	31778
505	31989
504	32201
503	32413
502	32625
501	32836
500	33048
499	33260
498	33472
497	33683
496	33895
495	34107
494	34319
493	34530
492	34742
491	34954
490	35166
489	35377
488	35589
487	35801
486	36013
485	36224
484	36436
483	36648
482	36860
481	37071
480	37283
479	37495
478	37707
477	37918
476	38130
475	38342
474	38554
473	38765
472	38977
471	39189
470	39401
469	39612
468	39824
467	40036
466	40248
465	40459
464	40671
463	40883
462	41095
461	41306
460	41518
459	41730
458	41942
457	42153
456	42365
455	42577
454	42789
453	43000
452	43212
451	43424
450	43636
449	43847
448	44059
447	44271
446	44483
445	44694
444	44906
443	45118
442	45330
441	45541
440	45753
439	45965
438	46177
437	46388
436	46600
435	46812
434	47024
433	47235
432	47447
431	47659
430	47871
429	48082
428	48294
427	48506
426	48717
425	48929
424	49141
423	49353
422	49564
421	49776
420	49988
419	50200
418	50411
417	50623
416	50835
415	51047
414	51258
413	51470
412	51682
411	51894
410	52105
409	52317
408	52529
407	52741
406	52952
405	53164
404	53376
403	53588
402	53799
401	54011
400	54223
399	54435
398	54646
397	54858
396	55070
395	55282
394	55493
393	55705
392	55917
391	56129
390	56340
389	56552
388	56764
387	56976
386	57187
385	57399
384	57611
383	57823
382	58034
381	58246
380	58458
379	58670
378	58881
377	59093
376	59305
375	59517
374	59728
373	59940
372	60152
371	60364
370	60575
369	60787
368	60999
367	61211
366	61422
365	61634
364	61846
363	62058
362	62269
361	62481
360	62693
359	62905
358	63116
357	63328
356	63540
355	63752
354	63963
353	64175
352	64387
351	64599
350	64810
349	65022
348	65234
347	65446
346	65657
345	65869
344	66081
343	66293
342	66504
341	66716
340	66928
339	67140
338	67351
337	67563
336	67775
335	67987
